Link Skoob,Nome,Coletado?
https://www.skoob.com.br/a-queda-do-ceu-516446ed523314.html,A queda do céu,False
https://www.skoob.com.br/dom-pedro-ii-51460ed56514.html,Dom Pedro II,False
https://www.skoob.com.br/historia-das-guerras-1271ed1742.html,História das Guerras,False
https://www.skoob.com.br/um-enigma-chamado-brasil-85605ed94534.html,Um Enigma Chamado Brasil,False
https://www.skoob.com.br/o-povo-brasileiro-2307ed3062.html,O Povo Brasileiro,False
https://www.skoob.com.br/racismo-sexismo-e-desigualdade-no-brasil-413765ed469849.html,"Racismo, Sexismo e Desigualdade no Brasil",False
https://www.skoob.com.br/forcas-armadas-e-politica-no-brasil-890061ed895994.html,Forças armadas e política no Brasil,False
https://www.skoob.com.br/a-formacao-das-almas-11701ed13012.html,A Formação das Almas,False
https://www.skoob.com.br/coronelismo-enxada-e-voto-28531ed31016.html,"Coronelismo, enxada e voto",False
https://www.skoob.com.br/terceiro-setor-e-a-questao-social-38463ed42071.html,Terceiro Setor e a Questão Social,False
https://www.skoob.com.br/a-invencao-do-trabalhismo-57715ed63531.html,A invenção do trabalhismo,False
https://www.skoob.com.br/a-construcao-da-ordem--teatro-de-sombras-34550ed37733.html,A Construção da Ordem / Teatro de Sombras,False
https://www.skoob.com.br/o-tempo-do-liberalismo-excludente-97790ed108188.html,O Tempo do Liberalismo Excludente,False
https://www.skoob.com.br/os-bestializados-10398ed11679.html,Os Bestializados,False
https://www.skoob.com.br/antifa-11769940ed11776586.html,Antifa,False
https://www.skoob.com.br/fascismo-e-democracia-11836394ed11835960.html,Fascismo e Democracia,False
https://www.skoob.com.br/introducao-ao-fascismo-66265ed73190.html,Introdução ao fascismo,False
https://www.skoob.com.br/as-origens-do-fascismo-896067ed902184.html,As Origens do Fascismo,False
https://www.skoob.com.br/as-novas-faces-do-fascismo-11959965ed11952422.html,As novas faces do fascismo,False
https://www.skoob.com.br/fascismo-12102103ed12086595.html,Fascismo,False
https://www.skoob.com.br/o-ovo-da-serpente-12207457ed12188660.html,O ovo da serpente,False
https://www.skoob.com.br/critica-do-fascismo-12237283ed12218768.html,Crítica do Fascismo,False
https://www.skoob.com.br/tempestade-ideologica-11988006ed11978952.html,Tempestade Ideológica,False
https://www.skoob.com.br/o-fascismo-como-ideologia-e-a-revolta-totalitaria-122358089ed122365041.html,O Fascismo Como Ideologia e a Revolta Totalitária,False
https://www.skoob.com.br/para-uma-vida-nao-fascista-85342ed94235.html,Para uma vida não-fascista,False
https://www.skoob.com.br/a-revolucao-dos-bichos-3074ed3967.html,A Revolução dos Bichos,False
https://www.skoob.com.br/origens-do-totalitarismo-31727ed34541.html,Origens do Totalitarismo,False
https://www.skoob.com.br/nos-7208ed8434.html,Nós,False
https://www.skoob.com.br/migracao-e-intolerancia-1105567ed1108664.html,Migração e Intolerância,False
https://www.skoob.com.br/fatos-e-fascismo-1118458ed1121782.html,Fatos e Fascismo,False
https://www.skoob.com.br/uma-breve-historia-das-mentiras-fascistas-1278383ed11636944.html,Uma Breve História das Mentiras Fascistas,False
https://www.skoob.com.br/racismo-e-fascismo-e-o-corpo-escravizado-e-o-corpo-negro-1242882ed11602790.html,Racismo e fascismo & O corpo escravizado e o corpo negro,False
https://www.skoob.com.br/tudo-sobre-o-amor-11723773ed11735477.html,Tudo sobre o amor,False
https://www.skoob.com.br/teorias-sociologicas-e-temas-sociais-contemporaneos-824460ed829029.html,Teorias sociológicas e temas sociais contemporâneos,False
https://www.skoob.com.br/cai-de-boca-no-meu-bc3to-11973003ed11964668.html,Cai de boca no meu b#c3t@o,False
https://www.skoob.com.br/amar-para-sobreviver-11990598ed11981256.html,Amar para sobreviver,False
https://www.skoob.com.br/a-criacao-do-patriarcado-973394ed974488.html,A criação do patriarcado,False
https://www.skoob.com.br/feminismo-pra-quem-11658972ed11675689.html,Feminismo pra quem?,False
https://www.skoob.com.br/contra-o-feminismo-branco-12019599ed12007952.html,Contra o feminismo branco,False
https://www.skoob.com.br/rivalidade-feminina-12012027ed12000766.html,Rivalidade feminina,False
https://www.skoob.com.br/monumento-para-a-mulher-desconhecida-12118496ed12102590.html,Monumento para a mulher desconhecida,False
https://www.skoob.com.br/olhos-fechados-988652ed990127.html,Olhos Fechados,False
https://www.skoob.com.br/escrever-alem-da-raca-12190345ed12171312.html,Escrever além da raça,False
https://www.skoob.com.br/o-primeiro-soar-da-trombeta-contra-o-monstruoso-regimento-de-mulheres-122269928ed122275462.html,O Primeiro Soar da Trombeta: Contra o Monstruoso Regimento de Mulheres,False
https://www.skoob.com.br/as-relacoes-monogamicas-so-existem-na-cabeca-da-mulher-apaixonada-122320852ed122325729.html,As Relações Monogâmicas Só Existem na Cabeça da Mulher Apaixonada,False
https://www.skoob.com.br/lugar-de-mulher-e-onde-ela-quiser-447120ed506603.html,Lugar de mulher é onde ela quiser,False
https://www.skoob.com.br/erguer-a-voz-861819ed866658.html,Erguer a voz,False
https://www.skoob.com.br/olhares-negros-850500ed856104.html,Olhares negros,False
https://www.skoob.com.br/feminismo-para-os-99-856964ed861464.html,Feminismo para os 99%,False
https://www.skoob.com.br/feminismo-no-cotidiano-916676ed923113.html,Feminismo no cotidiano,False
https://www.skoob.com.br/feminismos-em-rede-924917ed931495.html,Feminismos em rede,False
https://www.skoob.com.br/genero-e-desigualdades-759531ed763155.html,Gênero e desigualdades,False
https://www.skoob.com.br/quem-tem-medo-do-feminismo-negro-767441ed771448.html,Quem tem medo do feminismo negro?,False
https://www.skoob.com.br/problemas-de-genero-89028ed98315.html,Problemas de Gênero,False
https://www.skoob.com.br/teoria-feminista-1001097ed1002854.html,Teoria feminista,False
https://www.skoob.com.br/e-eu-nao-sou-uma-mulher-1007992ed1009871.html,E eu não sou uma mulher?,False
https://www.skoob.com.br/sejamos-todos-feministas-414193ed470328.html,Sejamos todos feministas,False
https://www.skoob.com.br/o-crepusculo-da-democracia-11799473ed11800712.html,O crepúsculo da democracia,False
https://www.skoob.com.br/o-novo-iluminismo-793748ed797103.html,O novo Iluminismo,False
https://www.skoob.com.br/como-salvar-a-democracia-122360698ed122367780.html,Como salvar a democracia,False
https://www.skoob.com.br/o-descontentamento-da-democracia-122342975ed122349008.html,O descontentamento da democracia,False
https://www.skoob.com.br/uma-crise-chamada-brasil-122320023ed122324871.html,Uma crise chamada Brasil,False
https://www.skoob.com.br/a-verdade-vos-libertara-122290055ed122295215.html,A Verdade Vos Libertará,False
https://www.skoob.com.br/como-as-guerras-civis-comecam-12208019ed12189238.html,Como as guerras civis começam,False
https://www.skoob.com.br/populismo-e-negacionismo-11927283ed11922221.html,Populismo e Negacionismo:,False
https://www.skoob.com.br/tudo-o-que-voce-precisou-desaprender-para-virar-um-idiota-11967189ed11959363.html,Tudo o que você precisou desaprender para virar um idiota,False
https://www.skoob.com.br/a-democracia-e-os-tres-poderes-no-brasil-94873ed104921.html,A Democracia e os Três Poderes no Brasil,False
https://www.skoob.com.br/lulismo-selvagem-11656585ed11673434.html,Lulismo Selvagem,False
https://www.skoob.com.br/nao-vai-acontecer-aqui-704539ed705686.html,Não vai acontecer aqui,False
https://www.skoob.com.br/o-custo-dos-direitos-922193ed928710.html,O custo dos direitos,False
https://www.skoob.com.br/nacional-populismo-1278380ed11636940.html,Nacional-populismo,False
https://www.skoob.com.br/como-a-democracia-chega-ao-fim-805006ed809028.html,Como a democracia chega ao fim,False
https://www.skoob.com.br/o-valor-das-ideias-863159ed868129.html,O valor das ideias,False
https://www.skoob.com.br/democracia-ameacada-1238171ed11598457.html,Democracia Ameaçada,False
https://www.skoob.com.br/ponto-final-1230551ed11591077.html,Ponto-final,False
https://www.skoob.com.br/o-povo-contra-a-democracia-853635ed859408.html,O povo contra a democracia,False
https://www.skoob.com.br/democracia-o-deus-que-falhou-390620ed442087.html,"Democracia, o Deus que Falhou",False
https://www.skoob.com.br/a-transformacao-social-618008ed618608.html,A Transformação Social,False
https://www.skoob.com.br/radicais-nas-universidades-152979ed170673.html,Radicais nas Universidades,False
https://www.skoob.com.br/a-mente-imprudente-715952ed717582.html,A Mente Imprudente,False
https://www.skoob.com.br/racismo-e-antissemitismo-122350015ed122356470.html,Racismo e antissemitismo,False
https://www.skoob.com.br/assata-593540ed594726.html,Assata,False
https://www.skoob.com.br/compreender-o-feminismo-11830914ed11830672.html,Compreender o feminismo,False
https://www.skoob.com.br/o-pensamento-de-angela-davis-11952757ed11945445.html,O pensamento de Angela Davis,False
https://www.skoob.com.br/a-democracia-da-abolicao-47312ed51890.html,A Democracia da Abolição,False
https://www.skoob.com.br/despindo-corpos-781298ed786083.html,Despindo corpos,False
https://www.skoob.com.br/mulheres-e-poder-851261ed856918.html,Mulheres e poder,False
https://www.skoob.com.br/questao-de-raca-17098ed18495.html,Questão de raça,False
https://www.skoob.com.br/a-revolucao-das-mulheres-658692ed660755.html,A revolução das mulheres,False
https://www.skoob.com.br/lugar-de-escuta-911791ed918154.html,Lugar de Escuta,False
https://www.skoob.com.br/angela-davis-uma-autobiografia-856719ed861208.html,Angela Davis - Uma autobiografia,False
https://www.skoob.com.br/feminismo-e-politica-423002ed479048.html,Feminismo e política,False
https://www.skoob.com.br/o-segundo-sexo-750026ed753234.html,O Segundo Sexo,False
